,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchGetAggregateResourceConfig,Grants permission to return the current configuration items for resources that are present in your AWS Config aggregator,Read,ConfigurationAggregator*,,
1,BatchGetResourceConfig,Grants permission to return the current configuration for one or more requested resources,Read,,,
2,DeleteAggregationAuthorization,Grants permission to delete the authorization granted to the specified configuration aggregator account in a specified region,Write,AggregationAuthorization*,,
3,DeleteConfigRule,Grants permission to delete the specified AWS Config rule and all of its evaluation results,Write,ConfigRule*,,
4,DeleteConfigurationAggregator,Grants permission to delete the specified configuration aggregator and the aggregated data associated with the aggregator,Write,ConfigurationAggregator*,,
5,DeleteConfigurationRecorder,Grants permission to delete the configuration recorder,Write,,,
6,DeleteConformancePack,Grants permission to delete the specified conformance pack and all the AWS Config rules and all evaluation results within that conformance pack,Write,,,
7,DeleteDeliveryChannel,Grants permission to delete the delivery channel,Write,,,
8,DeleteEvaluationResults,Grants permission to delete the evaluation results for the specified Config rule,Write,ConfigRule*,,
9,DeleteOrganizationConfigRule,Grants permission to delete the specified organization config rule and all of its evaluation results from all member accounts in that organization,Write,,,
10,DeleteOrganizationConformancePack,Grants permission to delete the specified organization conformance pack and all of its evaluation results from all member accounts in that organization,Write,,,
11,DeletePendingAggregationRequest,Grants permission to delete pending authorization requests for a specified aggregator account in a specified region,Write,,,
12,DeleteRemediationConfiguration,Grants permission to delete the remediation configuration,Write,RemediationConfiguration*,,
13,DeleteRemediationExceptions,Grants permission to delete one or more remediation exceptions for specific resource keys for a specific AWS Config Rule,Write,,,
14,DeleteResourceConfig,Grants permission to record the configuration state for a custom resource that has been deleted,Write,,,
15,DeleteRetentionConfiguration,Grants permission to delete the retention configuration,Write,,,
16,DeleteStoredQuery,Grants permission to delete the stored query for an AWS account in an AWS Region,Write,StoredQuery*,,
17,DeliverConfigSnapshot,Grants permission to schedule delivery of a configuration snapshot to the Amazon S3 bucket in the specified delivery channel,Read,,,
18,DescribeAggregateComplianceByConfigRules,Grants permission to return a list of compliant and noncompliant rules with the number of resources for compliant and noncompliant rules,Read,ConfigurationAggregator*,,
19,DescribeAggregateComplianceByConformancePacks,"Grants permission to return a list of compliant and noncompliant conformance packs along with count of compliant, non-compliant and total rules within each conformance pack",Read,ConfigurationAggregator*,,
20,DescribeAggregationAuthorizations,Grants permission to return a list of authorizations granted to various aggregator accounts and regions,List,,,
21,DescribeComplianceByConfigRule,Grants permission to indicate whether the specified AWS Config rules are compliant,Read,ConfigRule*,,
22,DescribeComplianceByResource,Grants permission to indicate whether the specified AWS resources are compliant,Read,,,
23,DescribeConfigRuleEvaluationStatus,Grants permission to return status information for each of your AWS managed Config rules,Read,ConfigRule*,,
24,DescribeConfigRules,Grants permission to return details about your AWS Config rules,List,ConfigRule*,,
25,DescribeConfigurationAggregatorSourcesStatus,Grants permission to return status information for sources within an aggregator,Read,ConfigurationAggregator*,,
26,DescribeConfigurationAggregators,Grants permission to return the details of one or more configuration aggregators,List,,,
27,DescribeConfigurationRecorderStatus,Grants permission to return the current status of the specified configuration recorder,Read,,,
28,DescribeConfigurationRecorders,Grants permission to return the names of one or more specified configuration recorders,List,,,
29,DescribeConformancePackCompliance,Grants permission to return compliance information for each rule in that conformance pack,Read,,,
30,DescribeConformancePackStatus,Grants permission to provide one or more conformance packs deployment status,Read,,,
31,DescribeConformancePacks,Grants permission to return a list of one or more conformance packs,List,,,
32,DescribeDeliveryChannelStatus,Grants permission to return the current status of the specified delivery channel,Read,,,
33,DescribeDeliveryChannels,Grants permission to return details about the specified delivery channel,List,,,
34,DescribeOrganizationConfigRuleStatuses,Grants permission to provide organization config rule deployment status for an organization,Read,,,
35,DescribeOrganizationConfigRules,Grants permission to return a list of organization config rules,List,,,
36,DescribeOrganizationConformancePackStatuses,Grants permission to provide organization conformance pack deployment status for an organization,Read,,,
37,DescribeOrganizationConformancePacks,Grants permission to return a list of organization conformance packs,List,,,
38,DescribePendingAggregationRequests,Grants permission to return a list of all pending aggregation requests,List,,,
39,DescribeRemediationConfigurations,Grants permission to return the details of one or more remediation configurations,List,RemediationConfiguration*,,
40,DescribeRemediationExceptions,Grants permission to return the details of one or more remediation exceptions,List,,,
41,DescribeRemediationExecutionStatus,"Grants permission to provide a detailed view of a Remediation Execution for a set of resources including state, timestamps and any error messages for steps that have failed",Read,RemediationConfiguration*,,
42,DescribeRetentionConfigurations,Grants permission to return the details of one or more retention configurations,List,,,
43,GetAggregateComplianceDetailsByConfigRule,Grants permission to return the evaluation results for the specified AWS Config rule for a specific resource in a rule,Read,ConfigurationAggregator*,,
44,GetAggregateConfigRuleComplianceSummary,Grants permission to return the number of compliant and noncompliant rules for one or more accounts and regions in an aggregator,Read,ConfigurationAggregator*,,
45,GetAggregateConformancePackComplianceSummary,Grants permission to return the number of compliant and noncompliant conformance packs for one or more accounts and regions in an aggregator,Read,ConfigurationAggregator*,,
46,GetAggregateDiscoveredResourceCounts,Grants permission to return the resource counts across accounts and regions that are present in your AWS Config aggregator,Read,ConfigurationAggregator*,,
47,GetAggregateResourceConfig,Grants permission to return configuration item that is aggregated for your specific resource in a specific source account and region,Read,ConfigurationAggregator*,,
48,GetComplianceDetailsByConfigRule,Grants permission to return the evaluation results for the specified AWS Config rule,Read,ConfigRule*,,
49,GetComplianceDetailsByResource,Grants permission to return the evaluation results for the specified AWS resource,Read,,,
50,GetComplianceSummaryByConfigRule,"Grants permission to return the number of AWS Config rules that are compliant and noncompliant, up to a maximum of 25 for each",Read,,,
51,GetComplianceSummaryByResourceType,Grants permission to return the number of resources that are compliant and the number that are noncompliant,Read,,,
52,GetConformancePackComplianceDetails,Grants permission to return compliance details of a conformance pack for all AWS resources that are monitered by conformance pack,Read,,,
53,GetConformancePackComplianceSummary,Grants permission to provide compliance summary for one or more conformance packs,Read,,,
54,GetDiscoveredResourceCounts,"Grants permission to return the resource types, the number of each resource type, and the total number of resources that AWS Config is recording in this region for your AWS account",Read,,,
55,GetOrganizationConfigRuleDetailedStatus,Grants permission to return detailed status for each member account within an organization for a given organization config rule,Read,,,
56,GetOrganizationConformancePackDetailedStatus,Grants permission to return detailed status for each member account within an organization for a given organization conformance pack,Read,,,
57,GetResourceConfigHistory,Grants permission to return a list of configuration items for the specified resource,Read,,,
58,GetStoredQuery,Grants permission to return the details of a specific stored query,Read,StoredQuery*,,
59,ListAggregateDiscoveredResources,Grants permission to accept a resource type and returns a list of resource identifiers that are aggregated for a specific resource type across accounts and regions,List,ConfigurationAggregator*,,
60,ListDiscoveredResources,Grants permission to accept a resource type and returns a list of resource identifiers for the resources of that type,List,,,
61,ListStoredQueries,Grants permission to list the stored queries for an AWS account in an AWS Region,List,StoredQuery*,,
62,ListTagsForResource,Grants permission to list the tags for AWS Config resource,Read,AggregationAuthorization,,
63,ListTagsForResource,Grants permission to list the tags for AWS Config resource,Read,ConfigRule,,
64,ListTagsForResource,Grants permission to list the tags for AWS Config resource,Read,ConfigurationAggregator,,
65,PutAggregationAuthorization,Grants permission to authorize the aggregator account and region to collect data from the source account and region,Write,AggregationAuthorization*,,
66,PutAggregationAuthorization,Grants permission to authorize the aggregator account and region to collect data from the source account and region,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
67,PutConfigRule,Grants permission to add or update an AWS Config rule for evaluating whether your AWS resources comply with your desired configurations,Write,ConfigRule*,,
68,PutConfigRule,Grants permission to add or update an AWS Config rule for evaluating whether your AWS resources comply with your desired configurations,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
69,PutConfigurationAggregator,Grants permission to create and update the configuration aggregator with the selected source accounts and regions,Write,ConfigurationAggregator*,,
70,PutConfigurationAggregator,Grants permission to create and update the configuration aggregator with the selected source accounts and regions,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
71,PutConfigurationRecorder,Grants permission to create a new configuration recorder to record the selected resource configurations,Write,,,
72,PutConformancePack,Grants permission to create or update a conformance pack,Write,,,
73,PutDeliveryChannel,Grants permission to create a delivery channel object to deliver configuration information to an Amazon S3 bucket and Amazon SNS topic,Write,,,
74,PutEvaluations,Grants permission to be used by an AWS Lambda function to deliver evaluation results to AWS Config,Write,,,
75,PutExternalEvaluation,Grants permission to deliver evaluation result to AWS Config,Write,,,
76,PutOrganizationConfigRule,Grants permission to add or update organization config rule for your entire organization evaluating whether your AWS resources comply with your desired configurations,Write,,,
77,PutOrganizationConformancePack,Grants permission to add or update organization conformance pack for your entire organization evaluating whether your AWS resources comply with your desired configurations,Write,,,
78,PutRemediationConfigurations,Grants permission to add or update the remediation configuration with a specific AWS Config rule with the selected target or action,Write,RemediationConfiguration*,,iam:PassRole
79,PutRemediationExceptions,Grants permission to add or update remediation exceptions for specific resources for a specific AWS Config rule,Write,,,
80,PutResourceConfig,Grants permission to record the configuration state for the resource provided in the request,Write,,,
81,PutRetentionConfiguration,Grants permission to create and update the retention configuration with details about retention period (number of days) that AWS Config stores your historical information,Write,,,
82,PutStoredQuery,Grants permission to save a new query or updates an existing saved query,Write,StoredQuery*,,
83,PutStoredQuery,Grants permission to save a new query or updates an existing saved query,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
84,SelectAggregateResourceConfig,"Grants permission to accept a structured query language (SQL) SELECT command and an aggregator to query configuration state of AWS resources across multiple accounts and regions, performs the corresponding search, and returns resource configurations matching the properties",Read,,,
85,SelectResourceConfig,"Grants permission to accept a structured query language (SQL) SELECT command, performs the corresponding search, and returns resource configurations matching the properties",Read,,,
86,StartConfigRulesEvaluation,Grants permission to evaluate your resources against the specified Config rules,Write,ConfigRule*,,
87,StartConfigurationRecorder,Grants permission to start recording configurations of the AWS resources you have selected to record in your AWS account,Write,,,
88,StartRemediationExecution,Grants permission to run an on-demand remediation for the specified AWS Config rules against the last known remediation configuration,Write,RemediationConfiguration*,,iam:PassRole
89,StopConfigurationRecorder,Grants permission to stop recording configurations of the AWS resources you have selected to record in your AWS account,Write,,,
90,TagResource,Grants permission to associate the specified tags to a resource with the specified resourceArn,Tagging,AggregationAuthorization,,
91,TagResource,Grants permission to associate the specified tags to a resource with the specified resourceArn,Tagging,ConfigRule,,
92,TagResource,Grants permission to associate the specified tags to a resource with the specified resourceArn,Tagging,ConfigurationAggregator,,
93,TagResource,Grants permission to associate the specified tags to a resource with the specified resourceArn,Tagging,ConformancePack,,
94,TagResource,Grants permission to associate the specified tags to a resource with the specified resourceArn,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
95,UntagResource,Grants permission to delete specified tags from a resource,Tagging,AggregationAuthorization,,
96,UntagResource,Grants permission to delete specified tags from a resource,Tagging,ConfigRule,,
97,UntagResource,Grants permission to delete specified tags from a resource,Tagging,ConfigurationAggregator,,
98,UntagResource,Grants permission to delete specified tags from a resource,Tagging,ConformancePack,,
99,UntagResource,Grants permission to delete specified tags from a resource,Tagging,,aws:TagKeys,
